label,relative_path,source_folder,db_name,image_filename,record_id,roi_id,manual_label,ai_label,ai_model_name,manual_added,image_width_px,image_height_px,roi_start_x,roi_start_y,roi_end_x,roi_end_y
0,class0/record_001059.png,Test_data,Test_data_bulk.db,AM_45_74A_1R1_3CMOS_IL17_50ms.tif,1059,8,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1116,80,1164,128
0,class0/record_002477.png,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_16.tif,2477,69,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2279,1681,2327,1729
0,class0/record_001894.png,Test_data,Test_data_bulk.db,SPG(32)_NEG1_3CMOS_IL20_50ms_32.tif,1894,74,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,170,991,218,1039
0,class0/record_002031.png,Test_data,Test_data_bulk.db,SPG(33)_NEG1_3CMOS_IL10_50ms_9.tif,2031,27,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,983,716,1031,764
0,class0/record_002630.png,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_17.tif,2630,128,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,648,1124,696,1172
0,class0/record_002468.png,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_16.tif,2468,60,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1288,1501,1336,1549
0,class0/record_002323.png,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_15.tif,2323,7,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1669,804,1717,852
0,class0/record_002612.png,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_17.tif,2612,110,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1669,585,1717,633
0,class0/record_002358.png,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_15.tif,2358,42,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1047,1290,1095,1338
0,class0/record_000313.png,Test_data,Test_data_bulk.db,1339_No.4_12116_IL20_50ms_4.tif,313,193,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,617,374,665,422
0,class0/record_000990.png,Test_data,Test_data_bulk.db,1339_No.4_12116_IL5_50ms_4.tif,990,112,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1701,1083,1749,1131
0,class0/record_000389.png,Test_data,Test_data_bulk.db,1339_No.4_12116_IL20_50ms_5.tif,389,61,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,182,835,230,883
0,class0/record_002289.png,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_14.tif,2289,55,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1155,760,1203,808
0,class0/record_001864.png,Test_data,Test_data_bulk.db,SPG(32)_NEG1_3CMOS_IL20_50ms_32.tif,1864,44,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1140,1451,1188,1499
0,class0/record_000475.png,Test_data,Test_data_bulk.db,1339_No.4_12116_IL20_50ms_5.tif,475,147,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1045,0,1093,48
0,class0/record_000365.png,Test_data,Test_data_bulk.db,1339_No.4_12116_IL20_50ms_5.tif,365,37,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2022,155,2070,203
0,class0/record_001884.png,Test_data,Test_data_bulk.db,SPG(32)_NEG1_3CMOS_IL20_50ms_32.tif,1884,64,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,983,1088,1031,1136
0,class0/record_002320.png,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_15.tif,2320,4,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,170,195,218,243
0,class0/record_002028.png,Test_data,Test_data_bulk.db,SPG(33)_NEG1_3CMOS_IL10_50ms_9.tif,2028,24,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1174,627,1222,675
0,class0/record_002574.png,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_17.tif,2574,72,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2552,787,2600,835
